t_s,x_px,y_px
9.0000,504.10,1140.30
9.0400,439.25,1137.18
9.0800,377.54,1130.88
9.1200,265.84,1113.49
9.1600,222.25,1103.73
9.2000,187.59,1094.51
9.2400,160.95,1086.87
9.2800,143.73,1081.71
9.3200,135.44,1078.53
9.3600,144.06,1080.32
9.4000,161.41,1085.23
9.4400,186.76,1091.41
9.4800,219.93,1099.42
9.5200,308.09,1116.37
9.5600,361.80,1123.89
9.6000,417.84,1130.01
9.6400,476.14,1134.18
9.6800,537.43,1136.45
9.7200,663.68,1132.81
9.7600,724.02,1127.84
9.8000,780.45,1120.79
9.8400,832.60,1112.50
9.8800,920.98,1094.59
9.9200,953.94,1086.71
9.9600,979.06,1080.91
10.0000,993.80,1076.83
10.0400,997.99,1075.34
10.0800,984.23,1080.78
10.1200,959.97,1087.38
10.1600,927.13,1095.94
10.2000,885.61,1105.68
10.2400,835.82,1115.61
10.2800,718.91,1132.86
10.3200,652.70,1137.97
10.3600,585.56,1140.62
10.4000,517.23,1140.36
10.4400,453.44,1137.34
10.4800,333.81,1124.35
10.5200,280.80,1115.59
10.5600,236.40,1105.93
10.6000,200.62,1097.03
10.6400,173.21,1089.17
10.6800,144.79,1080.38
10.7200,143.62,1079.55
10.7600,150.52,1081.34
10.8000,165.60,1085.63
10.8400,189.42,1091.26
10.8800,258.92,1106.91
10.9200,304.74,1115.73
10.9600,356.37,1123.27
11.0000,411.77,1129.44
11.0400,468.12,1134.03
11.0800,589.95,1136.39
11.1200,651.78,1133.95
11.1600,711.12,1129.56
11.2000,767.23,1123.43
11.2400,820.39,1115.58
11.2800,908.90,1098.23
11.3200,942.70,1090.45
11.3600,968.50,1084.31
11.4000,986.23,1080.23
11.4400,992.55,1078.40
11.4800,979.95,1082.80
11.5200,958.37,1088.79
11.5600,927.25,1096.60
11.6000,887.85,1105.75
11.6400,839.90,1115.24
11.6800,726.18,1131.97
11.7200,662.27,1137.29
11.7600,596.83,1139.88
11.8000,529.54,1140.38
11.8400,466.35,1137.51
11.8800,347.79,1125.43
11.9200,294.71,1116.82
11.9600,249.60,1107.75
12.0000,213.02,1099.08
12.0400,184.92,1091.68
12.0800,153.81,1082.49
12.1200,151.32,1081.21
12.1600,156.79,1082.56
12.2000,170.37,1085.99
12.2400,192.25,1091.66
12.2800,258.02,1107.12
12.3200,301.59,1115.38
12.3600,351.93,1122.77
12.4000,404.95,1129.12
12.4400,460.49,1134.07
12.4800,579.26,1137.20
12.5200,639.78,1135.50
12.5600,698.60,1131.53
12.6000,755.20,1126.07
12.6400,807.63,1118.45
12.6800,896.79,1102.05
12.7200,931.35,1094.11
12.7600,958.28,1087.89
12.8000,976.98,1083.55
12.8400,986.35,1081.18
12.8800,975.46,1084.61
12.9200,955.29,1089.86
12.9600,926.21,1096.96
