t_s,x_px,y_px
39.7600,568.88,1139.08
39.8000,523.03,1138.64
39.8400,478.18,1136.88
39.8800,436.86,1133.92
39.9200,398.29,1130.35
39.9600,331.94,1121.87
40.0000,307.00,1117.48
40.0400,288.36,1114.07
40.0800,275.65,1111.36
40.1200,269.30,1109.94
40.1600,274.65,1110.87
40.2000,286.41,1113.20
40.2400,304.48,1116.29
40.2800,327.76,1120.05
40.3200,356.26,1124.19
40.3600,425.62,1132.31
40.4000,464.55,1135.37
40.4400,505.74,1137.25
40.4800,548.82,1138.06
40.5200,592.99,1137.94
40.5600,677.76,1133.74
40.6000,717.27,1130.64
40.6400,753.08,1126.84
40.6800,785.04,1122.56
40.7200,811.95,1118.62
40.7600,849.95,1112.20
40.8000,859.64,1110.04
40.8400,862.27,1109.65
40.8800,858.14,1110.46
40.9200,846.63,1112.82
40.9600,804.54,1119.94
41.0000,774.78,1124.19
41.0400,740.08,1128.60
41.0800,701.82,1132.28
41.1200,659.63,1135.55
41.1600,570.09,1138.60
41.2000,524.99,1138.12
41.2400,481.18,1136.40
41.2800,440.05,1133.55
41.3200,402.08,1129.96
41.3600,336.97,1121.75
41.4000,312.03,1117.72
41.4400,293.23,1114.38
41.4800,280.56,1111.95
41.5200,274.10,1110.65
41.5600,279.13,1111.49
41.6000,290.68,1113.79
41.6400,307.90,1116.92
41.6800,331.55,1120.69
41.7200,392.29,1129.09
41.7600,427.83,1132.62
41.8000,466.44,1135.53
41.8400,506.97,1137.25
41.8800,549.07,1138.29
41.9200,634.96,1136.96
41.9600,675.95,1134.52
42.0000,714.61,1131.10
42.0400,749.60,1127.43
42.0800,781.06,1123.03
42.1200,828.84,1115.85
42.1600,844.54,1112.82
42.2000,853.73,1110.93
42.2400,856.49,1110.65
42.2800,852.72,1111.31
42.3200,824.28,1116.29
42.3600,800.95,1119.95
42.4000,771.71,1124.35
42.4400,737.86,1128.52
42.4800,700.19,1132.37
42.5200,615.50,1137.45
42.5600,570.91,1138.36
42.6000,526.32,1137.86
42.6400,483.22,1135.95
42.6800,442.86,1133.28
42.7200,370.99,1125.96
42.7600,340.80,1122.11
42.8000,316.03,1118.35
42.8400,297.20,1115.14
42.8800,284.65,1113.00
42.9200,277.97,1111.59
42.9600,283.37,1112.80
43.0000,294.74,1115.13
43.0400,312.04,1118.09
43.0800,334.75,1121.50
43.1200,394.67,1129.35
43.1600,429.86,1132.76
43.2000,467.84,1135.44
43.2400,507.71,1137.65
43.2800,549.53,1138.47
43.3200,634.54,1137.45
43.3600,675.30,1134.77
43.4000,713.99,1131.58
43.4400,749.61,1127.38
43.4800,781.07,1123.05
43.5200,829.71,1116.09
43.5600,842.71,1113.13
43.6000,854.33,1109.87
