t_s,theta_teo_rad,omega_teo_rad_s,alpha_teo_rad_s2,theta_sim_rad,omega_sim_rad_s,alpha_sim_rad_s2
2.7600,0.284306,0.231553,-5.726515,0.274427,-0.142163,-5.425730
2.8000,0.288950,-0.000000,-5.820045,0.264420,-0.356854,-5.225474
2.8400,0.284306,-0.231553,-5.726515,0.246031,-0.560201,-4.862188
2.8800,0.270525,-0.455664,-5.448929,0.219841,-0.745829,-4.345394
2.9200,0.248049,-0.665130,-4.996211,0.186680,-0.907832,-3.689277
2.9600,0.217600,-0.853218,-4.382910,0.147599,-1.040971,-2.912915
3.0000,0.180157,-1.013883,-3.628739,0.103846,-1.140866,-2.040219
3.0400,0.136924,-1.141960,-2.757937,0.056818,-1.204189,-1.099437
3.0800,0.089290,-1.233334,-1.798493,0.008027,-1.228821,-0.122148
3.1200,0.038787,-1.285068,-0.781244,-0.040960,-1.213960,0.858186
3.1600,-0.012964,-1.295499,0.261115,-0.088570,-1.160166,1.807951
3.2000,-0.064297,-1.264291,1.295082,-0.133279,-1.069324,2.695134
3.2400,-0.113565,-1.192448,2.287423,-0.173663,-0.944555,3.490853
3.2800,-0.159182,-1.082278,3.206245,-0.208447,-0.790056,4.170470
3.3200,-0.199683,-0.937324,4.022016,-0.236539,-0.610917,4.714194
3.3600,-0.233765,-0.762243,4.708516,-0.257068,-0.412921,5.107219
3.4000,-0.260335,-0.562662,5.243680,-0.269405,-0.202340,5.339538
3.4400,-0.278537,-0.344998,5.610308,-0.273175,0.014243,5.405614
3.4800,-0.287787,-0.116245,5.796615,-0.268275,0.230109,5.304098
3.5200,-0.287787,0.116245,5.796615,-0.254865,0.438570,5.037721
3.5600,-0.278537,0.344998,5.610308,-0.233375,0.633127,4.613401
3.6000,-0.260335,0.562662,5.243680,-0.204483,0.807643,4.042506
3.6400,-0.233765,0.762243,4.708516,-0.169105,0.956527,3.341134
3.6800,-0.199683,0.937324,4.022016,-0.128367,1.074933,2.530225
3.7200,-0.159182,1.082278,3.206245,-0.083570,1.158945,1.635327
3.7600,-0.113565,1.192448,2.287423,-0.036148,1.205759,0.685890
3.8000,-0.064297,1.264291,1.295082,0.012374,1.213817,-0.285918
3.8400,-0.012964,1.295499,0.261115,0.060437,1.182886,-1.246774
3.8800,0.038787,1.285068,-0.781244,0.106499,1.114075,-2.163936
3.9200,0.089290,1.233334,-1.798493,0.149089,1.009771,-3.006897
3.9600,0.136924,1.141960,-2.757937,0.186854,0.873523,-3.748739
4.0000,0.180157,1.013883,-3.628739,0.218605,0.709872,-4.367020
4.0400,0.217600,0.853218,-4.382910,0.243350,0.524161,-4.844177
4.0800,0.248049,0.665130,-4.996211,0.260323,0.322338,-5.167526
4.1200,0.270525,0.455664,-5.448929,0.269006,0.110759,-5.329006
4.1600,0.284306,0.231553,-5.726515,0.269141,-0.103983,-5.324868
4.2000,0.288950,-0.000000,-5.820045,0.260734,-0.315230,-5.155470
4.2400,0.284306,-0.231553,-5.726515,0.244057,-0.516420,-4.825255
4.2800,0.270525,-0.455664,-5.448929,0.219639,-0.701251,-4.342927
4.3200,0.248049,-0.665130,-4.996211,0.188254,-0.863854,-3.721723
4.3600,0.217600,-0.853218,-4.382910,0.150897,-0.998988,-2.979633
4.4000,0.180157,-1.013883,-3.628739,0.108760,-1.102225,-2.139366
4.4400,0.136924,-1.141960,-2.757937,0.063191,-1.170138,-1.227928
4.4800,0.089290,-1.233334,-1.798493,0.015651,-1.200459,-0.275717
4.5200,0.038787,-1.285068,-0.781244,-0.032331,-1.192195,0.684811
4.5600,-0.012964,-1.295499,0.261115,-0.079214,-1.145674,1.620779
4.6000,-0.064297,-1.264291,1.295082,-0.123496,-1.062533,2.500582
4.6400,-0.113565,-1.192448,2.287423,-0.163766,-0.945628,3.295415
4.6800,-0.159182,-1.082278,3.206245,-0.198748,-0.798900,3.980415
4.7200,-0.199683,-0.937324,4.022016,-0.227344,-0.627195,4.535350
4.7600,-0.233765,-0.762243,4.708516,-0.248665,-0.436072,4.944837
4.8000,-0.260335,-0.562662,5.243680,-0.262052,-0.231608,5.198230
4.8400,-0.278537,-0.344998,5.610308,-0.267101,-0.020213,5.289340
4.8800,-0.287787,-0.116245,5.796615,-0.263664,0.191540,5.216165
4.9200,-0.287787,0.116245,5.796615,-0.251860,0.397080,4.980761
4.9600,-0.278537,0.344998,5.610308,-0.232066,0.590000,4.589307
5.0000,-0.260335,0.562662,5.243680,-0.204910,0.764225,4.052323
5.0400,-0.233765,0.762243,4.708516,-0.171252,0.914186,3.384923
5.0800,-0.199683,0.937324,4.022016,-0.132164,1.035018,2.606937
5.1200,-0.159182,1.082278,3.206245,-0.088893,1.122741,1.742714
5.1600,-0.113565,1.192448,2.287423,-0.042825,1.174436,0.820506
5.2000,-0.064297,1.264291,1.295082,0.004558,1.188382,-0.128615
5.2400,-0.012964,1.295499,0.261115,0.051735,1.164146,-1.072213
5.2800,0.038787,1.285068,-0.781244,0.097192,1.102605,-1.978147
5.3200,0.089290,1.233334,-1.798493,0.139474,1.005895,-2.816187
5.3600,0.136924,1.141960,-2.757937,0.177238,0.877310,-3.559376
5.4000,0.180157,1.013883,-3.628739,0.209291,0.721145,-4.184974
5.4400,0.217600,0.853218,-4.382910,0.234630,0.542512,-4.674939
5.4800,0.248049,0.665130,-4.996211,0.252469,0.347149,-5.016003
5.5200,0.270525,0.455664,-5.448929,0.262261,0.141232,-5.199481
5.5600,0.284306,0.231553,-5.726515,0.263712,-0.068809,-5.220994
5.6000,0.288950,-0.000000,-5.820045,0.256788,-0.276448,-5.080256
5.6400,0.284306,-0.231553,-5.726515,0.241715,-0.475230,-4.781030
