t_s,theta_teo_rad,omega_teo_rad_s,alpha_teo_rad_s2,theta_sim_rad,omega_sim_rad_s,alpha_sim_rad_s2
14.2400,0.136924,-1.141960,-2.757937,0.091306,-0.946497,-1.796560
14.2800,0.089290,-1.233334,-1.798493,0.052207,-1.003167,-1.013671
14.3200,0.038787,-1.285068,-0.781244,0.011483,-1.027590,-0.197701
14.3600,-0.012964,-1.295499,0.261115,-0.029559,-1.018983,0.623944
14.4000,-0.064297,-1.264291,1.295082,-0.069599,-0.977675,1.423608
14.4400,-0.113565,-1.192448,2.287423,-0.107355,-0.905094,2.174669
14.4800,-0.159182,-1.082278,3.206245,-0.141622,-0.803701,2.852709
14.5200,-0.199683,-0.937324,4.022016,-0.171312,-0.676878,3.436430
14.5600,-0.233765,-0.762243,4.708516,-0.195489,-0.528787,3.908252
14.6000,-0.260335,-0.562662,5.243680,-0.213395,-0.364217,4.254602
14.6400,-0.278537,-0.344998,5.610308,-0.224476,-0.188419,4.465967
14.6800,-0.287787,-0.116245,5.796615,-0.228393,-0.006940,4.536802
14.7200,-0.287787,0.116245,5.796615,-0.225032,0.174525,4.465421
14.7600,-0.278537,0.344998,5.610308,-0.214507,0.350294,4.253936
14.8000,-0.260335,0.562662,5.243680,-0.197158,0.514840,3.908285
14.8400,-0.233765,0.762243,4.708516,-0.173539,0.662956,3.438311
14.8800,-0.199683,0.937324,4.022016,-0.144404,0.789905,2.857821
14.9200,-0.159182,1.082278,3.206245,-0.110684,0.891582,2.184521
14.9600,-0.113565,1.192448,2.287423,-0.073459,0.964667,1.439715
15.0000,-0.064297,1.264291,1.295082,-0.033924,1.006759,0.647705
15.0400,-0.012964,1.295499,0.261115,0.006650,1.016483,-0.165113
15.0800,0.038787,1.285068,-0.781244,0.046959,0.993550,-0.971394
15.1200,0.089290,1.233334,-1.798493,0.085709,0.938772,-1.744114
15.1600,0.136924,1.141960,-2.757937,0.121660,0.854021,-2.457795
15.2000,0.180157,1.013883,-3.628739,0.153668,0.742148,-3.089559
15.2400,0.217600,0.853218,-4.382910,0.180720,0.606856,-3.619896
15.2800,0.248049,0.665130,-4.996211,0.201963,0.452556,-4.033126
15.3200,0.270525,0.455664,-5.448929,0.216737,0.284206,-4.317569
15.3600,0.284306,0.231553,-5.726515,0.224584,0.107151,-4.465539
15.4000,0.288950,-0.000000,-5.820045,0.225267,-0.073037,-4.473235
15.4400,0.284306,-0.231553,-5.726515,0.218774,-0.250708,-4.340656
15.4800,0.270525,-0.455664,-5.448929,0.205318,-0.420289,-4.071576
15.5200,0.248049,-0.665130,-4.996211,0.185330,-0.576434,-3.673602
15.5600,0.217600,-0.853218,-4.382910,0.159449,-0.714177,-3.158242
15.6000,0.180157,-1.013883,-3.628739,0.128501,-0.829093,-2.540915
15.6400,0.136924,-1.141960,-2.757937,0.093476,-0.917451,-1.840787
15.6800,0.089290,-1.233334,-1.798493,0.055498,-0.976356,-1.080338
15.7200,0.038787,-1.285068,-0.781244,0.015786,-1.003878,-0.284637
15.7600,-0.012964,-1.295499,0.261115,-0.024382,-0.999127,0.519668
15.8000,-0.064297,-1.264291,1.295082,-0.063716,-0.962304,1.305548
15.8400,-0.113565,-1.192448,2.287423,-0.100955,-0.894684,2.046832
15.8800,-0.159182,-1.082278,3.206245,-0.134910,-0.798558,2.719361
15.9200,-0.199683,-0.937324,4.022016,-0.164502,-0.677135,3.301904
15.9600,-0.233765,-0.762243,4.708516,-0.188796,-0.534405,3.776784
16.0000,-0.260335,-0.562662,5.243680,-0.207032,-0.374992,4.130210
16.0400,-0.278537,-0.344998,5.610308,-0.218641,-0.203989,4.352358
16.0800,-0.287787,-0.116245,5.796615,-0.223268,-0.026803,4.437322
16.1200,-0.287787,0.116245,5.796615,-0.220777,0.150997,4.383008
16.1600,-0.278537,0.344998,5.610308,-0.211255,0.323837,4.191080
16.2000,-0.260335,0.562662,5.243680,-0.195009,0.486284,3.866971
16.2400,-0.233765,0.762243,4.708516,-0.172559,0.633195,3.419944
16.2800,-0.199683,0.937324,4.022016,-0.144623,0.759879,2.863145
16.3200,-0.159182,1.082278,3.206245,-0.112093,0.862247,2.213535
16.3600,-0.113565,1.192448,2.287423,-0.076012,0.936962,1.491610
16.4000,-0.064297,1.264291,1.295082,-0.037538,0.981575,0.720847
16.4400,-0.012964,1.295499,0.261115,0.002092,0.994630,-0.073149
16.4800,0.038787,1.285068,-0.781244,0.041605,0.975723,-0.863729
16.5200,0.089290,1.233334,-1.798493,0.079733,0.925531,-1.624414
16.5600,0.136924,1.141960,-2.757937,0.115253,0.845770,-2.330097
16.6000,0.180157,1.013883,-3.628739,0.147035,0.739124,-2.958076
16.6400,0.217600,0.853218,-4.382910,0.174072,0.609124,-3.488847
16.6800,0.248049,0.665130,-4.996211,0.195510,0.460016,-3.906586
16.7200,0.270525,0.455664,-5.448929,0.210682,0.296597,-4.199368
16.7600,0.284306,0.231553,-5.726515,0.219116,0.124066,-4.359181
16.8000,0.288950,-0.000000,-5.820045,0.220558,-0.052137,-4.381857
16.8400,0.284306,-0.231553,-5.726515,0.214970,-0.226482,-4.266981
16.8800,0.270525,-0.455664,-5.448929,0.202537,-0.393496,-4.017869
16.9200,0.248049,-0.665130,-4.996211,0.183659,-0.547912,-3.641603
16.9600,0.217600,-0.853218,-4.382910,0.158938,-0.684824,-3.149090
17.0000,0.180157,-1.013883,-3.628739,0.129165,-0.799839,-2.555064
17.0400,0.136924,-1.141960,-2.757937,0.095293,-0.889229,-1.877931
17.0800,0.089290,-1.233334,-1.798493,0.058408,-0.950073,-1.139369
17.1200,0.038787,-1.285068,-0.781244,0.019695,-0.980379,-0.363645
17.1600,-0.012964,-1.295499,0.261115,-0.019602,-0.979165,0.423335
17.2000,-0.064297,-1.264291,1.295082,-0.058219,-0.946512,1.195166
17.2400,-0.113565,-1.192448,2.287423,-0.094918,-0.883552,1.926149
17.2800,-0.159182,-1.082278,3.206245,-0.128527,-0.792420,2.592411
17.3200,-0.199683,-0.937324,4.022016,-0.157976,-0.676159,3.172828
17.3600,-0.233765,-0.762243,4.708516,-0.182335,-0.538594,3.649670
17.4000,-0.260335,-0.562662,5.243680,-0.200839,-0.384185,4.008965
17.4400,-0.278537,-0.344998,5.610308,-0.212911,-0.217876,4.240622
17.4800,-0.287787,-0.116245,5.796615,-0.218181,-0.044935,4.338401
17.5200,-0.287787,0.116245,5.796615,-0.216490,0.129196,4.299833
17.5600,-0.278537,0.344998,5.610308,-0.207902,0.299051,4.126160
17.6000,-0.260335,0.562662,5.243680,-0.192695,0.459288,3.822340
17.6400,-0.233765,0.762243,4.708516,-0.171355,0.604838,3.397094
17.6800,-0.199683,0.937324,4.022016,-0.144565,0.731056,2.862942
17.7200,-0.159182,1.082278,3.206245,-0.113183,0.833874,2.236140
17.7600,-0.113565,1.192448,2.287423,-0.078213,0.909947,1.536418
17.8000,-0.064297,1.264291,1.295082,-0.040777,0.956787,0.786460
17.8400,-0.012964,1.295499,0.261115,-0.002080,0.972864,0.011106
17.8800,0.038787,1.285068,-0.781244,0.036635,0.957676,-0.763680
17.9200,0.089290,1.233334,-1.798493,0.074124,0.911770,-1.511977
17.9600,0.136924,1.141960,-2.757937,0.109187,0.836717,-2.209064
18.0000,0.180157,1.013883,-3.628739,0.140706,0.735044,-2.832454
18.0400,0.217600,0.853218,-4.382910,0.167680,0.610121,-3.362683
18.0800,0.248049,0.665130,-4.996211,0.189260,0.466030,-3.783827
18.1200,0.270525,0.455664,-5.448929,0.204769,0.307415,-4.083749
18.1600,0.284306,0.231553,-5.726515,0.213727,0.139330,-4.254154
18.2000,0.288950,-0.000000,-5.820045,0.215860,-0.032917,-4.290532
18.2400,0.284306,-0.231553,-5.726515,0.211110,-0.203913,-4.192083
18.2800,0.270525,-0.455664,-5.448929,0.199635,-0.368284,-3.961692
18.3200,0.248049,-0.665130,-4.996211,0.181805,-0.520848,-3.605949
18.3600,0.217600,-0.853218,-4.382910,0.158189,-0.656760,-3.135193
18.4000,0.180157,-1.013883,-3.628739,0.129544,-0.771664,-2.563513
18.4400,0.136924,-1.141960,-2.757937,0.096786,-0.861841,-1.908594
18.4800,0.089290,-1.233334,-1.798493,0.060966,-0.924351,-1.191348
18.5200,0.038787,-1.285068,-0.781244,0.023235,-0.957149,-0.435271
18.5600,-0.012964,-1.295499,0.261115,-0.015195,-0.959173,0.334456
18.6000,-0.064297,-1.264291,1.295082,-0.053088,-0.930392,1.092052
18.6400,-0.113565,-1.192448,2.287423,-0.089228,-0.871809,1.812299
18.6800,-0.159182,-1.082278,3.206245,-0.122461,-0.785408,2.471636
18.7200,-0.199683,-0.937324,4.022016,-0.151728,-0.674078,3.049079
18.7600,-0.233765,-0.762243,4.708516,-0.176104,-0.541482,3.526887
18.8000,-0.260335,-0.562662,5.243680,-0.194820,-0.391927,3.890946
18.8400,-0.278537,-0.344998,5.610308,-0.207295,-0.230206,4.130929
18.8800,-0.287787,-0.116245,5.796615,-0.213143,-0.061452,4.240298
18.9200,-0.287787,0.116245,5.796615,-0.212189,0.109017,4.216234
18.9600,-0.278537,0.344998,5.610308,-0.204470,0.275846,4.059587
19.0000,-0.260335,0.562662,5.243680,-0.190240,0.433784,3.774868
19.0400,-0.233765,0.762243,4.708516,-0.169953,0.577836,3.370286
19.0800,-0.199683,0.937324,4.022016,-0.144259,0.703407,2.857771
19.1200,-0.159182,1.082278,3.206245,-0.113981,0.806457,2.252913
19.1600,-0.113565,1.192448,2.287423,-0.080088,0.883640,1.574713
19.2000,-0.064297,1.264291,1.295082,-0.043669,0.932434,0.845097
19.2400,-0.012964,1.295499,0.261115,-0.005893,0.951248,0.088161
19.2800,0.038787,1.285068,-0.781244,0.032023,0.939487,-0.670805
19.3200,0.089290,1.233334,-1.798493,0.068863,0.897584,-1.406437
19.3600,0.136924,1.141960,-2.757937,0.103447,0.826972,-2.094423
19.4000,0.180157,1.013883,-3.628739,0.134670,0.730030,-2.712512
19.4400,0.217600,0.853218,-4.382910,0.161540,0.609971,-3.241321
19.4800,0.248049,0.665130,-4.996211,0.183211,0.470724,-3.664861
19.5200,0.270525,0.455664,-5.448929,0.199002,0.316783,-3.970822
19.5600,0.284306,0.231553,-5.726515,0.208423,0.153058,-4.150655
19.6000,0.288950,-0.000000,-5.820045,0.211185,-0.015270,-4.199537
19.6400,0.284306,-0.231553,-5.726515,0.207211,-0.182905,-4.116315
19.6800,0.270525,-0.455664,-5.448929,0.196633,-0.344575,-3.903466
19.7200,0.248049,-0.665130,-4.996211,0.179793,-0.495182,-3.567116
19.7600,0.217600,-0.853218,-4.382910,0.157230,-0.629944,-3.117072
19.8000,0.180157,-1.013883,-3.628739,0.129666,-0.744548,-2.566810
19.8400,0.136924,-1.141960,-2.757937,0.097984,-0.835289,-1.933334
19.8800,0.089290,-1.233334,-1.798493,0.063201,-0.899214,-1.236824
19.9200,0.038787,-1.285068,-0.781244,0.026433,-0.934235,-0.500032
19.9600,-0.012964,-1.295499,0.261115,-0.011137,-0.939217,0.252565
20.0000,-0.064297,-1.264291,1.295082,-0.048302,-0.914030,0.995805
20.0400,-0.113565,-1.192448,2.287423,-0.083868,-0.859553,1.704960
20.0800,-0.159182,-1.082278,3.206245,-0.116700,-0.777633,2.356802
20.1200,-0.199683,-0.937324,4.022016,-0.145749,-0.671008,2.930520
20.1600,-0.233765,-0.762243,4.708516,-0.170097,-0.543191,3.408391
20.2000,-0.260335,-0.562662,5.243680,-0.188977,-0.398337,3.776199
20.2400,-0.278537,-0.344998,5.610308,-0.201799,-0.241096,4.023414
20.2800,-0.287787,-0.116245,5.796615,-0.208166,-0.076464,4.143230
20.3200,-0.287787,0.116245,5.796615,-0.207887,0.090363,4.132507
20.3600,-0.278537,0.344998,5.610308,-0.200978,0.254137,3.991728
20.4000,-0.260335,0.562662,5.243680,-0.187665,0.409701,3.724982
20.4400,-0.233765,0.762243,4.708516,-0.168377,0.552135,3.339997
20.4800,-0.199683,0.937324,4.022016,-0.143730,0.676901,2.848146
20.5200,-0.159182,1.082278,3.206245,-0.114514,0.779987,2.264388
20.5600,-0.113565,1.192448,2.287423,-0.081666,0.858052,1.607032
20.6000,-0.064297,1.264291,1.295082,-0.046238,0.908549,0.897275
20.6400,-0.012964,1.295499,0.261115,-0.009372,0.929834,0.158497
20.6800,0.038787,1.285068,-0.781244,0.027749,0.921229,-0.584676
20.7200,0.089290,1.233334,-1.798493,0.063932,0.883060,-1.307437
20.7600,0.136924,1.141960,-2.757937,0.098017,0.816634,-1.985894
20.8000,0.180157,1.013883,-3.628739,0.128916,0.724188,-2.598061
20.8400,0.217600,0.853218,-4.382910,0.155646,0.608789,-3.124661
20.8800,0.248049,0.665130,-4.996211,0.177363,0.474215,-3.549678
20.9200,0.270525,0.455664,-5.448929,0.193385,0.324815,-3.860663
20.9600,0.284306,0.231553,-5.726515,0.203214,0.165362,-4.048843
21.0000,0.288950,-0.000000,-5.820045,0.206547,0.000908,-4.109113
21.0400,0.284306,-0.231553,-5.726515,0.203289,-0.163367,-4.039988
21.0800,0.270525,-0.455664,-5.448929,0.193549,-0.322291,-3.843566
21.1200,0.248049,-0.665130,-4.996211,0.177644,-0.470852,-3.525535
21.1600,0.217600,-0.853218,-4.382910,0.156083,-0.604334,-3.095200
21.2000,0.180157,-1.013883,-3.628739,0.129555,-0.718468,-2.565459
21.2400,0.136924,-1.141960,-2.757937,0.098912,-0.809571,-1.952667
21.2800,0.089290,-1.233334,-1.798493,0.065137,-0.874681,-1.276306
21.3200,0.038787,-1.285068,-0.781244,0.029313,-0.911675,-0.558416
21.3600,-0.012964,-1.295499,0.261115,-0.007406,-0.919355,0.177216
21.4000,-0.064297,-1.264291,1.295082,-0.043841,-0.897498,0.906038
21.4400,-0.113565,-1.192448,2.287423,-0.078822,-0.846872,1.603815
21.4800,-0.159182,-1.082278,3.206245,-0.111229,-0.769193,2.247673
21.5200,-0.199683,-0.937324,4.022016,-0.140031,-0.667058,2.816997
21.5600,-0.233765,-0.762243,4.708516,-0.164313,-0.543833,3.294118
21.6000,-0.260335,-0.562662,5.243680,-0.183310,-0.403528,3.664745
21.6400,-0.278537,-0.344998,5.610308,-0.196427,-0.250653,3.918183
21.6800,-0.287787,-0.116245,5.796615,-0.203259,-0.090074,4.047383
21.7200,-0.287787,0.116245,5.796615,-0.203598,0.073137,4.048910
21.7600,-0.278537,0.344998,5.610308,-0.197441,0.233839,3.922905
21.8000,-0.260335,0.562662,5.243680,-0.184992,0.386970,3.673064
21.8400,-0.233765,0.762243,4.708516,-0.166650,0.527684,3.306658
21.8800,-0.199683,0.937324,4.022016,-0.143003,0.651502,2.834535
21.9200,-0.159182,1.082278,3.206245,-0.114808,0.754447,2.271057
21.9600,-0.113565,1.192448,2.287423,-0.082970,0.833187,1.633871
22.0000,-0.064297,1.264291,1.295082,-0.048510,0.885157,0.943481
22.0400,-0.012964,1.295499,0.261115,-0.012537,0.908665,0.222569
22.0800,0.038787,1.285068,-0.781244,0.023793,0.902962,-0.504884
22.1200,0.089290,1.233334,-1.798493,0.059313,0.868274,-1.214628
22.1600,0.136924,1.141960,-2.757937,0.092884,0.805792,-1.883201
22.2000,0.180157,1.013883,-3.628739,0.123433,0.717618,-2.488901
22.2400,0.217600,0.853218,-4.382910,0.149989,0.606680,-3.012588
22.2800,0.248049,0.665130,-4.996211,0.171712,0.476611,-3.438249
22.3200,0.270525,0.455664,-5.448929,0.187919,0.331620,-3.753324
22.3600,0.284306,0.231553,-5.726515,0.198105,0.176345,-3.948849
22.4000,0.288950,-0.000000,-5.820045,0.201955,0.015712,-4.019463
22.4400,0.284306,-0.231553,-5.726515,0.199358,-0.145212,-3.963375
22.4800,0.270525,-0.455664,-5.448929,0.190402,-0.301358,-3.782326
22.5200,0.248049,-0.665130,-4.996211,0.175379,-0.447798,-3.481595
22.5600,0.217600,-0.853218,-4.382910,0.154770,-0.579885,-3.070009
22.6000,0.180157,-1.013883,-3.628739,0.129236,-0.693398,-2.559921
22.6400,0.136924,-1.141960,-2.757937,0.099595,-0.784679,-1.967070
22.6800,0.089290,-1.233334,-1.798493,0.066798,-0.850764,-1.310273
22.7200,0.038787,-1.285068,-0.781244,0.031899,-0.889501,-0.610880
22.7600,-0.012964,-1.295499,0.261115,-0.003980,-0.899634,0.107985
22.8000,-0.064297,-1.264291,1.295082,-0.039686,-0.880862,0.822376
22.8400,-0.113565,-1.192448,2.287423,-0.074072,-0.833844,1.508555
22.8800,-0.159182,-1.082278,3.206245,-0.106038,-0.760178,2.144012
22.9200,-0.199683,-0.937324,4.022016,-0.134564,-0.662323,2.708352
22.9600,-0.233765,-0.762243,4.708516,-0.158744,-0.543509,3.183987
23.0000,-0.260335,-0.562662,5.243680,-0.177816,-0.407604,3.556586
23.0400,-0.278537,-0.344998,5.610308,-0.191183,-0.258982,3.815313
23.0800,-0.287787,-0.116245,5.796615,-0.198428,-0.102379,3.952907
23.1200,-0.287787,0.116245,5.796615,-0.199333,0.057250,3.965665
23.1600,-0.278537,0.344998,5.610308,-0.193875,0.214874,3.853406
23.2000,-0.260335,0.562662,5.243680,-0.182236,0.365523,3.619458
23.2400,-0.233765,0.762243,4.708516,-0.164790,0.504430,3.270661
23.2800,-0.199683,0.937324,4.022016,-0.142097,0.627175,2.817368
23.3200,-0.159182,1.082278,3.206245,-0.114884,0.729820,2.273372
23.3600,-0.113565,1.192448,2.287423,-0.084024,0.809045,1.655693
23.4000,-0.064297,1.264291,1.295082,-0.050508,0.862275,0.984168
23.4400,-0.012964,1.295499,0.261115,-0.015412,0.887779,0.280809
23.4800,0.038787,1.285068,-0.781244,0.020134,0.884740,-0.431037
23.5200,0.089290,1.233334,-1.798493,0.054988,0.853296,-1.127672
23.5600,0.136924,1.141960,-2.757937,0.088032,0.794526,-1.786070
23.6000,0.180157,1.013883,-3.628739,0.118212,0.710410,-2.384832
23.6400,0.217600,0.853218,-4.382910,0.144564,0.603740,-2.904978
23.6800,0.248049,0.665130,-4.996211,0.166256,0.478012,-3.330524
23.7200,0.270525,0.455664,-5.448929,0.182605,0.337298,-3.648833
23.7600,0.284306,0.231553,-5.726515,0.193100,0.186105,-3.850775
23.8000,0.288950,-0.000000,-5.820045,0.197418,0.029236,-3.930761
23.8400,0.284306,-0.231553,-5.726515,0.195430,-0.128356,-3.886714
23.8800,0.270525,-0.455664,-5.448929,0.187206,-0.281701,-3.720045
23.9200,0.248049,-0.665130,-4.996211,0.173015,-0.425959,-3.435645
23.9600,0.217600,-0.853218,-4.382910,0.153312,-0.556553,-3.041892
24.0000,0.180157,-1.013883,-3.628739,0.128729,-0.669311,-2.550620
24.0400,0.136924,-1.141960,-2.757937,0.100053,-0.760603,-1.976986
24.0800,0.089290,-1.233334,-1.798493,0.068206,-0.827470,-1.339168
24.1200,0.038787,-1.285068,-0.781244,0.034211,-0.867736,-0.657857
24.1600,-0.012964,-1.295499,0.261115,-0.000840,-0.880098,0.044471
24.2000,-0.064297,-1.264291,1.295082,-0.035820,-0.864178,0.744462
24.2400,-0.113565,-1.192448,2.287423,-0.069604,-0.820541,1.418877
24.2800,-0.159182,-1.082278,3.206245,-0.101113,-0.750668,2.045580
24.3200,-0.199683,-0.937324,4.022016,-0.129339,-0.656895,2.604418
24.3600,-0.233765,-0.762243,4.708516,-0.153386,-0.542315,3.077907
24.4000,-0.260335,-0.562662,5.243680,-0.172496,-0.410662,3.451703
24.4400,-0.278537,-0.344998,5.610308,-0.186068,-0.266179,3.714860
24.4800,-0.287787,-0.116245,5.796615,-0.193681,-0.113473,3.859930
24.5200,-0.287787,0.116245,5.796615,-0.195101,0.042616,3.882963
24.5600,-0.278537,0.344998,5.610308,-0.190292,0.197164,3.783483
24.6000,-0.260335,0.562662,5.243680,-0.179413,0.345295,3.564471
24.6400,-0.233765,0.762243,4.708516,-0.162817,0.482321,3.232361
24.6800,-0.199683,0.937324,4.022016,-0.141034,0.603883,2.797035
24.7200,-0.159182,1.082278,3.206245,-0.114764,0.706084,2.271750
24.7600,-0.113565,1.192448,2.287423,-0.084850,0.785623,1.672927
24.8000,-0.064297,1.264291,1.295082,-0.052251,0.839918,1.019762
24.8400,-0.012964,1.295499,0.261115,-0.018017,0.867204,0.333623
24.8800,0.038787,1.285068,-0.781244,0.016753,0.866608,-0.362763
24.9200,0.089290,1.233334,-1.798493,0.050940,0.838183,-1.046244
24.9600,0.136924,1.141960,-2.757937,0.083449,0.782909,-1.694234
25.0000,0.180157,1.013883,-3.628739,0.113239,0.702645,-2.285651
25.0400,0.217600,0.853218,-4.382910,0.139363,0.600056,-2.801697
25.0800,0.248049,0.665130,-4.996211,0.160991,0.478509,-3.226443
25.1200,0.270525,0.455664,-5.448929,0.177443,0.341941,-3.547201
25.1600,0.284306,0.231553,-5.726515,0.188204,0.194733,-3.754702
25.2000,0.288950,-0.000000,-5.820045,0.192942,0.041565,-3.843152
25.2400,0.284306,-0.231553,-5.726515,0.191514,-0.112719,-3.810214
25.2800,0.270525,-0.455664,-5.448929,0.183974,-0.263252,-3.656987
25.3200,0.248049,-0.665130,-4.996211,0.170568,-0.405278,-3.388000
25.3600,0.217600,-0.853218,-4.382910,0.151726,-0.534292,-3.011205
25.4000,0.180157,-1.013883,-3.628739,0.128053,-0.646175,-2.537946
25.4400,0.136924,-1.141960,-2.757937,0.100309,-0.737328,-1.982822
25.4800,0.089290,-1.233334,-1.798493,0.069383,-0.804801,-1.363405
25.5200,0.038787,-1.285068,-0.781244,0.036270,-0.846400,-0.699751
25.5600,-0.012964,-1.295499,0.261115,0.002034,-0.860781,-0.013707
25.6000,-0.064297,-1.264291,1.295082,-0.032223,-0.847497,0.671953
25.6400,-0.113565,-1.192448,2.287423,-0.065403,-0.807024,1.334486
25.6800,-0.159182,-1.082278,3.206245,-0.096441,-0.740738,1.952142
25.7200,-0.199683,-0.937324,4.022016,-0.124347,-0.650853,2.505023
25.7600,-0.233765,-0.762243,4.708516,-0.148234,-0.540336,2.975775
25.8000,-0.260335,-0.562662,5.243680,-0.167346,-0.412791,3.350064
25.8400,-0.278537,-0.344998,5.610308,-0.181085,-0.272331,3.616860
25.8800,-0.287787,-0.116245,5.796615,-0.189020,-0.123442,3.768552
25.9200,-0.287787,0.116245,5.796615,-0.190910,0.029153,3.800969
25.9600,-0.278537,0.344998,5.610308,-0.186703,0.180635,3.713360
26.0000,-0.260335,0.562662,5.243680,-0.176538,0.326222,3.508378
26.0400,-0.233765,0.762243,4.708516,-0.160745,0.461305,3.192078
26.0800,-0.199683,0.937324,4.022016,-0.139831,0.581588,2.773895
26.1200,-0.159182,1.082278,3.206245,-0.114467,0.683217,2.266574
26.1600,-0.113565,1.192448,2.287423,-0.085467,0.762914,1.685968
26.2000,-0.064297,1.264291,1.295082,-0.053761,0.818095,1.050661
26.2400,-0.012964,1.295499,0.261115,-0.020370,0.846967,0.381393
26.2800,0.038787,1.285068,-0.781244,0.013632,0.848606,-0.299708
26.3200,0.089290,1.233334,-1.798493,0.047154,0.822990,-0.970029
26.3600,0.136924,1.141960,-2.757937,0.079120,0.771004,-1.607430
26.4000,0.180157,1.013883,-3.628739,0.108506,0.694396,-2.191155
26.4400,0.217600,0.853218,-4.382910,0.134377,0.595711,-2.702605
26.4800,0.248049,0.665130,-4.996211,0.155911,0.478188,-3.125932
26.5200,0.270525,0.455664,-5.448929,0.172431,0.345637,-3.448421
26.5600,0.284306,0.231553,-5.726515,0.183419,0.202314,-3.660689
26.6000,0.288950,-0.000000,-5.820045,0.188533,0.052782,-3.756759
26.6400,0.284306,-0.231553,-5.726515,0.187621,-0.098227,-3.734055
26.6800,0.270525,-0.455664,-5.448929,0.180719,-0.245943,-3.593388
26.7200,0.248049,-0.665130,-4.996211,0.168052,-0.385698,-3.338944
26.7600,0.217600,-0.853218,-4.382910,0.150029,-0.513058,-2.978273
26.8000,0.180157,-1.013883,-3.628739,0.127227,-0.623960,-2.522253
26.8400,0.136924,-1.141960,-2.757937,0.100379,-0.714839,-1.984954
26.8800,0.089290,-1.233334,-1.798493,0.070347,-0.782756,-1.383368
26.9200,0.038787,-1.285068,-0.781244,0.038095,-0.825508,-0.736940
26.9600,-0.012964,-1.295499,0.261115,0.004660,-0.841711,-0.066909
27.0000,-0.064297,-1.264291,1.295082,-0.028881,-0.830861,0.604521
27.0400,-0.113565,-1.192448,2.287423,-0.061453,-0.793350,1.255099
27.0800,-0.159182,-1.082278,3.206245,-0.092010,-0.730453,1.863467
27.1200,-0.199683,-0.937324,4.022016,-0.119578,-0.644272,2.409996
27.1600,-0.233765,-0.762243,4.708516,-0.143279,-0.537653,2.877481
27.2000,-0.260335,-0.562662,5.243680,-0.162364,-0.414074,3.251623
27.2400,-0.278537,-0.344998,5.610308,-0.176232,-0.277523,3.521331
27.2800,-0.287787,-0.116245,5.796615,-0.184451,-0.132367,3.678855
27.3200,-0.287787,0.116245,5.796615,-0.186768,0.016785,3.719823
27.3600,-0.278537,0.344998,5.610308,-0.183118,0.165218,3.643230
27.4000,-0.260335,0.562662,5.243680,-0.173623,0.308244,3.451425
27.4400,-0.233765,0.762243,4.708516,-0.158591,0.441332,3.150101
27.4800,-0.199683,0.937324,4.022016,-0.138505,0.560252,2.748272
27.5200,-0.159182,1.082278,3.206245,-0.114011,0.661194,2.258197
27.5600,-0.113565,1.192448,2.287423,-0.085893,0.740907,1.695185
27.6000,-0.064297,1.264291,1.295082,-0.055056,0.796809,1.077233
27.6400,-0.012964,1.295499,0.261115,-0.022491,0.827086,0.424478
27.6800,0.038787,1.285068,-0.781244,0.010756,0.830767,-0.241536
27.7200,0.089290,1.233334,-1.798493,0.043615,0.807763,-0.898728
27.7600,0.136924,1.141960,-2.757937,0.075031,0.758869,-1.525404
27.8000,0.180157,1.013883,-3.628739,0.104001,0.685731,-2.101141
27.8400,0.217600,0.853218,-4.382910,0.129599,0.590778,-2.607559
27.8800,0.248049,0.665130,-4.996211,0.151013,0.477126,-3.028910
27.9200,0.270525,0.455664,-5.448929,0.167568,0.348465,-3.352474
27.9600,0.284306,0.231553,-5.726515,0.178745,0.208928,-3.568778
28.0000,0.288950,-0.000000,-5.820045,0.184197,0.062963,-3.671682
28.0400,0.284306,-0.231553,-5.726515,0.183758,-0.084806,-3.658394
28.0800,0.270525,-0.455664,-5.448929,0.177451,-0.229709,-3.529456
28.1200,0.248049,-0.665130,-4.996211,0.165481,-0.367163,-3.288731
28.1600,0.217600,-0.853218,-4.382910,0.148235,-0.492807,-2.943389
28.2000,0.180157,-1.013883,-3.628739,0.126267,-0.602634,-2.503866
28.2400,0.136924,-1.141960,-2.757937,0.100283,-0.693117,-1.983730
28.2800,0.089290,-1.233334,-1.798493,0.071115,-0.761332,-1.399415
28.3200,0.038787,-1.285068,-0.781244,0.039703,-0.805070,-0.769779
28.3600,-0.012964,-1.295499,0.261115,0.007055,-0.822915,-0.115473
28.4000,-0.064297,-1.264291,1.295082,-0.025777,-0.814308,0.541854
28.4400,-0.113565,-1.192448,2.287423,-0.057740,-0.779566,1.180443
28.4800,-0.159182,-1.082278,3.206245,-0.087809,-0.719872,1.779328
28.5200,-0.199683,-0.937324,4.022016,-0.115024,-0.637220,2.319164
28.5600,-0.233765,-0.762243,4.708516,-0.138517,-0.534339,2.782910
28.6000,-0.260335,-0.562662,5.243680,-0.157546,-0.414587,3.156325
28.6400,-0.278537,-0.344998,5.610308,-0.171511,-0.281833,3.428278
28.6800,-0.287787,-0.116245,5.796615,-0.179975,-0.140325,3.590902
28.7200,-0.287787,0.116245,5.796615,-0.182680,0.005439,3.639644
28.7600,-0.278537,0.344998,5.610308,-0.179545,0.150846,3.573266
28.8000,-0.260335,0.562662,5.243680,-0.170678,0.291300,3.393832
28.8400,-0.233765,0.762243,4.708516,-0.156367,0.422353,3.106693
