t_s,theta_rad,omega_rad_s,alpha_rad_s2
5.1200,-0.254152,0.042042,5.035873
5.1600,-0.248351,0.237148,4.790351
5.2000,-0.235180,0.425270,4.642408
5.2400,-0.214330,0.608540,4.344843
5.2800,-0.186497,0.772857,4.042659
5.3200,-0.152501,0.931953,3.245283
5.3600,-0.111940,1.032480,1.841504
5.4000,-0.069903,1.079273,1.089708
5.4400,-0.025598,1.119656,0.592416
5.4800,0.019670,1.126667,0.059621
5.5200,0.064535,1.124426,-0.819619
5.5600,0.109624,1.061097,-2.404024
5.6000,0.149423,0.932104,-3.321346
5.6400,0.184192,0.795390,-3.681376
5.6800,0.213054,0.637594,-4.011048
5.7200,0.235200,0.474506,-4.289733
5.7600,0.251014,0.294416,-4.820118
5.8000,0.258753,0.088896,-5.175561
5.8400,0.258126,-0.119629,-5.179746
5.8800,0.249182,-0.325483,-5.066555
5.9200,0.232087,-0.524954,-4.462900
5.9600,0.207186,-0.682515,-3.580813
6.0000,0.177486,-0.811419,-3.176519
6.0400,0.142273,-0.936637,-3.014752
6.0800,0.102555,-1.052599,-2.471632
6.1200,0.058065,-1.134367,-1.008025
6.1600,0.011806,-1.133241,0.524190
6.2000,-0.032595,-1.092432,1.129276
6.2400,-0.075589,-1.042899,1.332045
6.2800,-0.116026,-0.985869,1.891512
6.3200,-0.154458,-0.891578,3.159568
6.3600,-0.187353,-0.733103,4.188705
6.4000,-0.213107,-0.556481,4.484566
6.4400,-0.231871,-0.374338,4.592077
6.4800,-0.243054,-0.189115,4.855660
6.5200,-0.247000,0.014115,5.088522
6.5600,-0.241924,0.217966,4.875241
6.6000,-0.229563,0.404134,4.597938
6.6400,-0.209594,0.585802,4.438236
6.6800,-0.182699,0.759193,4.097360
6.7200,-0.148858,0.913590,3.020898
6.7600,-0.109612,1.000865,1.704744
6.8000,-0.068789,1.049970,1.158930
6.8400,-0.025614,1.093579,0.973995
6.8800,0.018697,1.127889,0.338443
6.9200,0.064617,1.120655,-1.218600
6.9600,0.108350,1.030402,-2.663490
7.0000,0.147049,0.907575,-3.178350
7.0400,0.180956,0.776134,-3.327352
7.0800,0.209140,0.641387,-3.697612
7.1200,0.232267,0.480325,-4.493102
7.1600,0.247566,0.281939,-5.018569
7.2000,0.254822,0.078839,-5.099526
7.2400,0.253873,-0.126023,-5.093708
7.2800,0.244740,-0.328658,-4.692832
7.3200,0.227580,-0.501449,-4.051124
7.3600,0.204624,-0.652748,-3.741394
7.4000,0.175360,-0.800761,-3.433790
7.4400,0.140563,-0.927451,-3.061682
7.4800,0.101164,-1.045696,-2.171970
7.5200,0.056907,-1.101208,-0.635498
7.5600,0.013068,-1.096535,0.239265
7.6000,-0.030815,-1.082067,0.739027
7.6400,-0.073498,-1.037413,1.213765
7.6800,-0.113808,-0.984966,1.963246
7.7200,-0.152295,-0.880354,3.304042
7.7600,-0.184237,-0.720643,4.043292
7.8000,-0.209946,-0.556890,4.286965
7.8400,-0.228788,-0.377685,4.517705
7.8800,-0.240161,-0.195474,4.603128
7.9200,-0.244426,-0.009435,4.808723
7.9600,-0.240916,0.189224,4.951720
8.0000,-0.229288,0.386703,4.765766
8.0400,-0.209980,0.570485,4.492111
8.0800,-0.183649,0.746071,3.765780
8.1200,-0.150294,0.871748,2.617199
8.1600,-0.113909,0.955447,2.013079
8.2000,-0.073858,1.032794,1.568947
8.2400,-0.031286,1.080963,1.110109
8.2800,0.012619,1.121603,0.205855
8.3200,0.058442,1.097432,-1.430260
8.3600,0.100413,1.007182,-2.358926
8.4000,0.139017,0.908717,-2.788827
8.4400,0.173111,0.784076,-3.161011
8.4800,0.201743,0.655837,-3.546239
8.5200,0.225578,0.500377,-4.364088
8.5600,0.241773,0.306710,-4.904983
8.6000,0.250114,0.107978,-5.000329
8.6400,0.250411,-0.093317,-5.006036
8.6800,0.242649,-0.292505,-4.634999
8.7200,0.227011,-0.464117,-4.051301
8.7600,0.205520,-0.616609,-3.770405
8.8000,0.177682,-0.765749,-3.471088
8.8400,0.144260,-0.894296,-3.115093
8.8800,0.106139,-1.014957,-2.252839
8.9200,0.063063,-1.074523,-0.761570
8.9600,0.020177,-1.075882,0.087261
9.0000,-0.023007,-1.067542,0.585943
9.0400,-0.065227,-1.029007,1.056523
9.0800,-0.105328,-0.983020,1.798335
9.1200,-0.143868,-0.885140,3.155501
9.1600,-0.176139,-0.730580,3.927189
9.2000,-0.202315,-0.570965,3.995839
9.2400,-0.221816,-0.410913,4.272284
9.2800,-0.235188,-0.229182,4.779380
9.3200,-0.240151,-0.028563,4.934323
9.3600,-0.237473,0.165564,4.846478
9.4000,-0.226906,0.359156,4.752007
9.4400,-0.208740,0.545724,4.509432
9.4800,-0.183248,0.719910,3.694912
9.5200,-0.151147,0.841317,2.594537
9.5600,-0.115942,0.927473,2.083972
9.6000,-0.076950,1.008035,1.917025
9.6400,-0.035300,1.080835,1.374288
9.6800,0.009517,1.117978,-0.126104
9.7200,0.054139,1.070747,-1.630462
9.7600,0.095177,0.987541,-2.180920
9.8000,0.133142,0.896273,-2.365047
9.8400,0.166879,0.798337,-2.832478
9.8800,0.197009,0.669675,-3.809686
9.9200,0.220453,0.493562,-4.546219
9.9600,0.236494,0.305977,-4.753710
10.0000,0.244931,0.113266,-4.816143
10.0400,0.245555,-0.079314,-4.854598
10.0800,0.238586,-0.275102,-4.618499
10.1200,0.223547,-0.448794,-4.062302
10.1600,0.202682,-0.600086,-3.743746
10.2000,0.175540,-0.748294,-3.627111
10.2400,0.142819,-0.890255,-3.226873
10.2800,0.104320,-1.006444,-1.996198
10.3200,0.062303,-1.049951,-0.611713
10.3600,0.020324,-1.055381,-0.019636
10.4000,-0.022127,-1.051522,0.207464
10.4400,-0.063798,-1.038783,1.013295
10.4800,-0.105230,-0.970458,2.442494
10.5200,-0.141435,-0.843384,3.273798
10.5600,-0.172701,-0.708555,3.618136
10.6000,-0.198119,-0.553933,3.883752
10.6400,-0.217015,-0.397854,4.099539
10.6800,-0.229948,-0.225970,4.592572
10.7200,-0.235093,-0.030449,4.883875
10.7600,-0.232383,0.164740,4.831362
10.8000,-0.221914,0.356060,4.716422
10.8400,-0.203899,0.542054,4.143680
10.8800,-0.178549,0.687555,3.255273
10.9200,-0.148894,0.802476,2.807165
10.9600,-0.114351,0.912128,2.408513
11.0000,-0.075924,0.995157,1.982046
11.0400,-0.034739,1.070692,1.110906
11.0800,0.009731,1.084029,-0.463474
11.1200,0.051984,1.033614,-1.366541
11.1600,0.092420,0.974706,-1.821223
11.2000,0.129960,0.887916,-2.253615
11.2400,0.163454,0.794417,-2.781851
11.2800,0.193513,0.665368,-3.783872
11.3200,0.216683,0.491707,-4.432940
11.3600,0.232850,0.310733,-4.639992
11.4000,0.241542,0.120507,-4.755464
11.4400,0.242491,-0.069704,-4.574260
11.4800,0.235965,-0.245433,-4.311262
11.5200,0.222856,-0.414605,-4.189244
11.5600,0.202797,-0.580573,-3.940960
11.6000,0.176410,-0.729882,-3.657344
11.6400,0.144406,-0.873160,-2.915075
11.6800,0.106557,-0.963088,-1.625326
11.7200,0.067359,-1.003186,-0.893527
11.7600,0.026302,-1.034570,-0.409610
11.8000,-0.015406,-1.035955,0.082168
11.8400,-0.056574,-1.027997,0.892341
11.8800,-0.097646,-0.964568,2.302724
11.9200,-0.133740,-0.843779,3.111875
11.9600,-0.165148,-0.715618,3.466794
12.0000,-0.190989,-0.566435,3.761556
12.0400,-0.210463,-0.414693,3.984810
12.0800,-0.224165,-0.247651,4.481270
12.1200,-0.230275,-0.056192,4.795323
12.1600,-0.228660,0.135975,4.757160
12.2000,-0.219397,0.324381,4.654971
12.2400,-0.202709,0.508373,4.122550
12.2800,-0.178727,0.654185,3.280108
12.3200,-0.150375,0.770782,2.856346
12.3600,-0.117065,0.882693,2.473873
12.4000,-0.079759,0.968691,2.052418
12.4400,-0.039570,1.046886,1.191855
12.4800,0.003992,1.064040,-0.343078
12.5200,0.045554,1.019440,-1.225454
12.5600,0.085547,0.966003,-1.682171
12.6000,0.122834,0.884866,-2.115294
12.6400,0.156336,0.796780,-2.656986
12.6800,0.186576,0.672307,-3.661922
12.7200,0.210121,0.503826,-4.303191
12.7600,0.226882,0.328052,-4.425056
12.8000,0.236365,0.149822,-4.582412
12.8400,0.238868,-0.038541,-4.638007
12.8800,0.233282,-0.221219,-4.380460
12.9200,0.221171,-0.388978,-4.156000
12.9600,0.202163,-0.553699,-4.042125
13.0000,0.176875,-0.712348,-3.728976
13.0400,0.145176,-0.852017,-2.725304
