t_s,theta_rad,omega_rad_s,alpha_rad_s2
25.8000,-0.002901,-0.872495,0.169398
25.8400,-0.037652,-0.853339,0.560809
25.8800,-0.071168,-0.827631,1.189607
25.9200,-0.103862,-0.758171,2.321754
25.9600,-0.131822,-0.641890,2.984939
26.0000,-0.155214,-0.519376,3.250734
26.0400,-0.173372,-0.381832,3.459175
26.0800,-0.185760,-0.242642,3.550890
26.1200,-0.192783,-0.097760,3.792596
26.1600,-0.193581,0.060766,3.970665
26.2000,-0.187922,0.219893,3.906724
26.2400,-0.175989,0.373304,3.783535
26.2800,-0.158058,0.522576,3.266973
26.3200,-0.134183,0.634662,2.423253
26.3600,-0.107285,0.716436,1.975173
26.4000,-0.076869,0.792676,1.620795
26.4400,-0.043871,0.846099,1.259628
26.4800,-0.009181,0.893446,0.539192
26.5200,0.027605,0.889235,-0.763767
26.5600,0.061958,0.832345,-1.514412
26.6000,0.094193,0.768082,-1.884909
26.6400,0.123405,0.681552,-2.222143
26.6800,0.148717,0.590310,-2.603157
26.7200,0.170630,0.473299,-3.343068
26.7600,0.186581,0.322865,-3.822471
26.8000,0.196459,0.167502,-3.944636
26.8400,0.199981,0.007294,-3.995435
26.8800,0.197042,-0.152133,-3.763066
26.9200,0.187810,-0.293751,-3.406077
26.9600,0.173542,-0.424619,-3.244257
27.0000,0.153841,-0.553292,-3.154731
27.0400,0.129279,-0.676998,-2.850130
27.0800,0.099681,-0.781302,-1.889231
27.1200,0.066775,-0.828136,-0.778138
27.1600,0.033430,-0.843553,-0.289359
27.2000,-0.000710,-0.851285,-0.103152
27.2400,-0.034673,-0.851805,0.355846
27.2800,-0.068854,-0.822817,1.471922
27.3200,-0.100498,-0.734052,2.509182
27.3600,-0.127578,-0.622083,2.872578
27.4000,-0.150265,-0.504245,2.981447
27.4400,-0.167918,-0.383567,3.242868
27.4800,-0.180950,-0.244816,3.693270
27.5200,-0.187503,-0.088105,3.886301
27.5600,-0.187999,0.066088,3.864771
27.6000,-0.182216,0.221076,3.836217
27.6400,-0.170313,0.372985,3.706571
27.6800,-0.152377,0.517602,3.136013
27.7200,-0.128904,0.623867,2.327319
27.7600,-0.102468,0.703788,1.931406
27.8000,-0.072601,0.778379,1.781852
27.8400,-0.040198,0.846336,1.355170
27.8800,-0.004895,0.886793,0.187742
27.9200,0.030746,0.861355,-1.008786
27.9600,0.064014,0.806090,-1.474839
28.0000,0.095233,0.743368,-1.645330
28.0400,0.123483,0.674463,-2.053969
28.0800,0.149190,0.579050,-2.899644
28.1200,0.169807,0.442492,-3.548331
28.1600,0.184589,0.295184,-3.743906
28.2000,0.193422,0.142979,-3.818113
28.2400,0.196028,-0.010265,-3.719345
28.2800,0.192601,-0.154568,-3.567652
28.3200,0.183662,-0.295677,-3.499144
28.3600,0.168947,-0.434500,-3.320638
28.4000,0.148902,-0.561328,-3.111955
28.4400,0.124040,-0.683456,-2.520928
28.4800,0.094226,-0.763002,-1.494005
28.5200,0.063000,-0.802977,-0.905793
28.5600,0.029988,-0.835466,-0.510124
28.6000,-0.003837,-0.843786,-0.118275
28.6400,-0.037515,-0.844928,0.544618
28.6800,-0.071431,-0.800217,1.712500
28.7200,-0.101533,-0.707928,2.391650
28.7600,-0.128066,-0.608885,2.697227
28.8000,-0.150243,-0.492150,2.956769
28.8400,-0.167438,-0.372344,3.177894
28.8800,-0.180031,-0.237918,3.615694
28.9200,-0.186471,-0.083088,3.885215
28.9600,-0.186678,0.072899,3.878024
29.0000,-0.180639,0.227154,3.820986
29.0400,-0.168506,0.378578,3.427495
29.0800,-0.150353,0.501354,2.794835
29.1200,-0.128397,0.602165,2.464623
29.1600,-0.102180,0.698523,2.145381
29.2000,-0.072515,0.773795,1.802967
29.2400,-0.040276,0.842761,1.113253
29.2800,-0.005095,0.862855,-0.111091
29.3200,0.028752,0.833874,-0.826273
29.3600,0.061615,0.796754,-1.222322
29.4000,0.092493,0.736088,-1.587287
29.4400,0.120502,0.669771,-2.054873
29.4800,0.146074,0.571698,-2.913243
29.5200,0.166238,0.436711,-3.437632
29.5600,0.181011,0.296687,-3.613568
29.6000,0.189973,0.147626,-3.741585
29.6400,0.192821,-0.002639,-3.650221
29.6800,0.189762,-0.144392,-3.512707
29.7200,0.181270,-0.283656,-3.457743
29.7600,0.167070,-0.421011,-3.287215
29.8000,0.147589,-0.546633,-3.080532
29.8400,0.123339,-0.667454,-2.498303
29.8800,0.094193,-0.746498,-1.493603
29.9200,0.063619,-0.786942,-0.922970
29.9600,0.031237,-0.820335,-0.537422
30.0000,-0.002008,-0.829936,-0.147152
30.0400,-0.035158,-0.832107,0.507313
30.0800,-0.068576,-0.789351,1.649120
30.1200,-0.098306,-0.700178,2.314069
30.1600,-0.124591,-0.604225,2.622781
30.2000,-0.146644,-0.490355,2.886835
30.2400,-0.163819,-0.373279,3.111759
30.2800,-0.176506,-0.241415,3.554778
30.3200,-0.183132,-0.088896,3.825675
30.3600,-0.183618,0.064639,3.819083
30.4000,-0.177961,0.216630,3.768362
30.4400,-0.166287,0.366108,3.384848
30.4800,-0.148672,0.487418,2.762519
30.5200,-0.127294,0.587110,2.440648
30.5600,-0.101703,0.682670,2.308820
30.6000,-0.072680,0.771816,1.916357
30.6400,-0.039958,0.835979,0.829254
30.6800,-0.005802,0.838156,-0.309787
30.7200,0.027094,0.811196,-0.765997
30.7600,0.059094,0.776876,-0.941956
30.8000,0.089244,0.735839,-1.379140
30.8400,0.117961,0.666545,-2.327735
30.8800,0.142568,0.549620,-3.094003
30.9200,0.161931,0.419025,-3.329008
30.9600,0.176090,0.283300,-3.420376
31.0000,0.184595,0.145395,-3.572664
31.0400,0.187721,-0.002513,-3.683162
31.0800,0.184393,-0.149258,-3.528516
31.1200,0.175781,-0.284795,-3.364963
31.1600,0.161610,-0.418455,-3.292066
31.2000,0.142304,-0.548160,-3.065717
31.2400,0.117757,-0.663713,-2.287504
31.2800,0.089207,-0.731160,-1.340499
31.3200,0.059264,-0.770953,-0.904294
31.3600,0.027531,-0.803504,-0.713385
31.4000,-0.005016,-0.828023,-0.263067
31.4400,-0.038711,-0.824549,0.834311
31.4800,-0.070980,-0.761279,1.888822
31.5200,-0.099613,-0.673443,2.279656
31.5600,-0.124855,-0.578906,2.418470
31.6000,-0.145926,-0.479966,2.734292
31.6400,-0.163253,-0.360163,3.341592
31.6800,-0.174739,-0.212638,3.718811
31.7200,-0.180264,-0.062658,3.761201
31.7600,-0.179751,0.088258,3.749124
31.8000,-0.173203,0.237272,3.464148
31.8400,-0.160769,0.365389,3.033361
31.8800,-0.143972,0.479941,2.831960
31.9200,-0.122374,0.591946,2.576996
31.9600,-0.096616,0.686101,2.270061
32.0000,-0.067486,0.773551,1.599074
32.0400,-0.034732,0.814027,0.455502
32.0800,-0.002364,0.809991,-0.177844
32.1200,0.030067,0.799799,-0.551361
32.1600,0.061620,0.765882,-0.931908
32.2000,0.091338,0.725246,-1.479983
32.2400,0.119640,0.647484,-2.452360
32.2800,0.143136,0.529058,-3.019594
32.3200,0.161964,0.405916,-3.222559
32.3600,0.175610,0.271253,-3.395586
32.4000,0.183664,0.134269,-3.424518
32.4400,0.186351,-0.002709,-3.501608
32.4800,0.183448,-0.145859,-3.573003
32.5200,0.174682,-0.288549,-3.453740
32.5600,0.160364,-0.422159,-3.289819
32.6000,0.140910,-0.551734,-2.794342
32.6400,0.116225,-0.645706,-1.948275
32.6800,0.089253,-0.707596,-1.470711
32.7200,0.059617,-0.763363,-1.114885
32.7600,0.028184,-0.796787,-0.741071
32.8000,-0.004126,-0.822648,-0.072170
32.8400,-0.037628,-0.802561,1.076381
32.8800,-0.068330,-0.736538,1.727665
32.9200,-0.096551,-0.664348,2.050709
32.9600,-0.121478,-0.572481,2.353032
33.0000,-0.142349,-0.476105,2.675662
33.0400,-0.159567,-0.358428,3.279733
33.0800,-0.171023,-0.213726,3.642818
33.1200,-0.176665,-0.067003,3.683034
33.1600,-0.176384,0.080916,3.676292
33.2000,-0.170191,0.227100,3.404547
33.2400,-0.158216,0.353280,2.991731
33.2800,-0.141929,0.466439,2.795679
33.3200,-0.120900,0.576934,2.546666
33.3600,-0.095774,0.670172,2.253212
33.4000,-0.067287,0.757191,1.599511
33.4400,-0.035199,0.798133,0.477375
33.4800,-0.003436,0.795381,-0.146975
33.5200,0.028432,0.786375,-0.513886
33.5600,0.059474,0.754271,-0.883076
33.6000,0.088773,0.715729,-1.427150
33.6400,0.116732,0.640099,-2.398115
33.6800,0.139981,0.523880,-2.959173
33.7200,0.158643,0.403365,-3.155410
33.7600,0.172250,0.271447,-3.328392
33.8000,0.180358,0.137093,-3.361738
33.8400,0.183218,0.002508,-3.442953
33.8800,0.180559,-0.138343,-3.513745
33.9200,0.172150,-0.278592,-3.460692
33.9600,0.158272,-0.415198,-3.284072
34.0000,0.138934,-0.541317,-2.659780
34.0400,0.114966,-0.627981,-1.861246
34.0800,0.088696,-0.690217,-1.477754
34.1200,0.059749,-0.746201,-1.298419
34.1600,0.029000,-0.794091,-0.863307
34.2000,-0.003778,-0.815265,0.205741
34.2400,-0.036221,-0.777631,1.257627
34.2800,-0.065989,-0.714655,1.653035
34.3200,-0.093394,-0.645388,1.795041
34.3600,-0.117620,-0.571052,2.150623
34.4000,-0.139078,-0.473339,2.885178
34.4400,-0.155487,-0.340238,3.420384
34.4800,-0.166297,-0.199708,3.537509
34.5200,-0.171464,-0.057237,3.539784
34.5600,-0.170876,0.083475,3.552650
34.6000,-0.164786,0.226975,3.382905
34.6400,-0.152718,0.354107,2.964959
34.6800,-0.136457,0.464172,2.719177
34.7200,-0.115584,0.571641,2.614212
34.7600,-0.090726,0.673309,2.280625
34.8000,-0.061719,0.754091,1.315601
34.8400,-0.030398,0.778557,0.263201
34.8800,0.000565,0.775147,-0.156745
34.9200,0.031613,0.766017,-0.306913
34.9600,0.061847,0.750594,-0.749365
35.0000,0.091661,0.706068,-1.770041
35.0400,0.118332,0.608991,-2.640191
35.0800,0.140380,0.494853,-2.911184
35.1200,0.157920,0.376096,-2.995389
35.1600,0.170468,0.255221,-3.119376
35.2000,0.178338,0.126546,-3.392893
35.2400,0.180592,-0.016210,-3.574496
35.2800,0.177041,-0.159413,-3.511342
35.3200,0.167839,-0.297117,-3.396017
35.3600,0.153272,-0.431095,-2.980423
35.4000,0.133351,-0.535551,-2.303115
35.4400,0.110428,-0.615344,-1.934425
35.4800,0.084123,-0.690305,-1.620562
35.5200,0.055203,-0.744989,-1.272411
35.5600,0.024524,-0.792098,-0.604236
35.6000,-0.008165,-0.793328,0.524162
35.6400,-0.038942,-0.750165,1.149913
35.6800,-0.068178,-0.701335,1.472305
35.7200,-0.095049,-0.632381,1.783708
35.7600,-0.118768,-0.558638,2.192813
35.8000,-0.139740,-0.456956,2.937292
35.8400,-0.155325,-0.323655,3.368088
35.8800,-0.165632,-0.187509,3.474843
35.9200,-0.170325,-0.045667,3.524214
35.9600,-0.169285,0.094429,3.349907
36.0000,-0.162771,0.222325,3.133939
36.0400,-0.151499,0.345144,3.044545
36.0800,-0.135160,0.465889,2.853201
36.1200,-0.114228,0.573400,2.615944
36.1600,-0.089288,0.675164,1.999651
36.2000,-0.060215,0.733372,0.967985
36.2400,-0.030618,0.752603,0.420763
36.2800,-0.000007,0.767033,0.082304
36.3200,0.030745,0.759187,-0.275968
36.3600,0.060728,0.744955,-0.867403
36.4000,0.090341,0.689795,-1.917893
36.4400,0.115912,0.591524,-2.516405
36.4800,0.137663,0.488483,-2.744577
36.5200,0.154990,0.371958,-2.940821
36.5600,0.167420,0.253217,-3.062541
36.6000,0.175248,0.126955,-3.326434
36.6400,0.177576,-0.012898,-3.506450
36.6800,0.174216,-0.153561,-3.452939
36.7200,0.165291,-0.289133,-3.339085
36.7600,0.151085,-0.420688,-2.925430
36.8000,0.131636,-0.523167,-2.266234
36.8400,0.109232,-0.601987,-1.914067
36.8800,0.083477,-0.676293,-1.611174
36.9200,0.055128,-0.730881,-1.270040
36.9600,0.025007,-0.777896,-0.610981
37.0000,-0.007103,-0.779759,0.493434
37.0400,-0.037374,-0.738421,1.109045
37.0800,-0.066177,-0.691036,1.434869
37.1200,-0.092657,-0.623632,1.741804
37.1600,-0.116067,-0.551691,2.144557
37.2000,-0.136792,-0.452067,2.882942
37.2400,-0.152233,-0.321056,3.309105
37.2800,-0.162477,-0.187339,3.412988
37.3200,-0.167220,-0.048017,3.463311
37.3600,-0.166318,0.089726,3.294768
37.4000,-0.160042,0.215564,3.086964
37.4400,-0.149073,0.336683,3.005206
37.4800,-0.133107,0.455981,2.920735
37.5200,-0.112595,0.570342,2.643502
37.5600,-0.087480,0.667461,1.795332
37.6000,-0.059198,0.713969,0.827381
37.6400,-0.030362,0.733652,0.427273
37.6800,-0.000506,0.748151,0.294774
37.7200,0.029490,0.757233,-0.117915
37.7600,0.060073,0.738717,-1.161234
37.8000,0.088587,0.664335,-2.113059
37.8400,0.113220,0.569673,-2.430344
37.8800,0.134161,0.469907,-2.525510
37.9200,0.150813,0.367632,-2.761843
37.9600,0.163572,0.248960,-3.192017
38.0000,0.170729,0.112271,-3.405796
38.0400,0.172553,-0.023504,-3.403174
38.0800,0.168849,-0.159983,-3.374961
38.1200,0.159755,-0.293501,-3.257190
38.1600,0.145369,-0.420559,-2.799389
38.2000,0.126110,-0.517452,-2.169094
38.2400,0.103973,-0.594086,-1.857217
38.2800,0.078583,-0.666029,-1.712063
38.3200,0.050690,-0.731051,-1.323048
38.3600,0.020099,-0.771873,-0.314900
38.4000,-0.011059,-0.756243,0.710291
38.4400,-0.040401,-0.715050,1.102710
38.4800,-0.068263,-0.668026,1.240930
38.5200,-0.093843,-0.615775,1.607796
38.5600,-0.117525,-0.539403,2.425198
38.6000,-0.136995,-0.421759,3.083472
38.6400,-0.151266,-0.292725,3.260098
38.6800,-0.160413,-0.160952,3.290855
38.7200,-0.164142,-0.029457,3.219393
38.7600,-0.162769,0.096600,3.177104
38.8000,-0.156414,0.224712,3.191326
38.8400,-0.144793,0.351906,3.053387
38.8800,-0.128262,0.468983,2.873924
38.9200,-0.107274,0.581820,2.331337
38.9600,-0.081716,0.655490,1.407174
39.0000,-0.054835,0.694394,0.916630
39.0400,-0.026165,0.728820,0.601388
39.0800,0.003471,0.742505,0.272683
39.1200,0.033236,0.750635,-0.321383
39.1600,0.063522,0.716794,-1.394035
39.2000,0.090579,0.639112,-2.014741
39.2400,0.114651,0.555615,-2.284378
39.2800,0.135028,0.456362,-2.509187
39.3200,0.151159,0.354880,-2.706804
39.3600,0.163419,0.239817,-3.129455
39.4000,0.170345,0.104523,-3.407253
39.4400,0.171781,-0.032763,-3.413113
39.4800,0.167724,-0.168526,-3.360282
39.5200,0.158299,-0.301586,-3.033782
39.5600,0.143597,-0.411228,-2.524197
39.6000,0.125400,-0.503521,-2.267330
39.6400,0.103315,-0.592615,-2.014630
39.6800,0.077991,-0.664692,-1.723101
39.7200,0.050140,-0.730463,-1.099262
39.7600,0.019554,-0.752633,-0.030454
39.8000,-0.010071,-0.732899,0.565353
39.8400,-0.039078,-0.707404,0.886620
39.8800,-0.066663,-0.661969,1.202039
39.9200,-0.092035,-0.611241,1.663996
39.9600,-0.115562,-0.528850,2.500697
40.0000,-0.134343,-0.411186,2.988977
40.0400,-0.148457,-0.289731,3.140228
40.0800,-0.157522,-0.159967,3.238335
40.1200,-0.161255,-0.030665,3.161895
40.1600,-0.159975,0.092984,3.116428
40.2000,-0.153816,0.218650,3.133267
40.2400,-0.142483,0.343646,3.003172
40.2800,-0.126324,0.458903,2.825057
40.3200,-0.105771,0.569650,2.293151
40.3600,-0.080752,0.642355,1.399770
40.4000,-0.054382,0.681632,0.917889
40.4400,-0.026222,0.715787,0.600200
40.4800,0.002881,0.729648,0.282730
40.5200,0.032150,0.738405,-0.300996
40.5600,0.061953,0.705568,-1.361495
40.6000,0.088596,0.629485,-1.969164
40.6400,0.112312,0.548035,-2.231180
40.6800,0.132438,0.450991,-2.459078
40.7200,0.148391,0.351309,-2.658221
40.7600,0.160543,0.238333,-3.072561
40.8000,0.167458,0.105504,-3.345760
40.8400,0.168983,-0.029328,-3.356806
40.8800,0.165112,-0.163041,-3.313387
40.9200,0.155940,-0.294398,-2.995514
40.9600,0.141560,-0.402682,-2.490984
41.0000,0.123726,-0.493677,-2.239905
41.0400,0.102066,-0.581874,-2.135466
41.0800,0.077176,-0.664514,-1.790376
41.1200,0.048904,-0.725104,-0.844398
41.1600,0.019167,-0.732066,0.146287
41.2000,-0.009661,-0.713401,0.539487
41.2400,-0.037905,-0.688907,0.676185
41.2800,-0.064774,-0.659306,1.046508
41.3200,-0.090649,-0.605187,1.919019
41.3600,-0.113188,-0.505785,2.672297
41.4000,-0.131112,-0.391403,2.903273
41.4400,-0.144501,-0.273523,2.957533
41.4800,-0.152994,-0.154800,3.088913
41.5200,-0.156885,-0.026410,3.230947
41.5600,-0.155107,0.103675,3.149364
41.6000,-0.148591,0.225539,3.035730
41.6400,-0.137064,0.346534,2.982447
41.6800,-0.120868,0.464135,2.784962
41.7200,-0.099933,0.569331,2.091823
41.7600,-0.075321,0.631481,1.247477
41.8000,-0.049414,0.669129,0.880172
41.8400,-0.021791,0.701894,0.751608
41.8800,0.006737,0.729258,0.369684
41.9200,0.036549,0.731469,-0.629897
41.9600,0.065255,0.678866,-1.594714
42.0000,0.090859,0.603892,-1.945949
42.0400,0.113566,0.523190,-2.062357
42.0800,0.132714,0.438904,-2.335192
42.1200,0.148678,0.336375,-2.871359
42.1600,0.159624,0.209195,-3.223029
42.2000,0.165414,0.078532,-3.294832
42.2400,0.165906,-0.054392,-3.306253
42.2800,0.161063,-0.185968,-3.067256
42.3200,0.151029,-0.299772,-2.701708
42.3600,0.137081,-0.402105,-2.531503
42.4000,0.118861,-0.502292,-2.327113
42.4400,0.096897,-0.588274,-2.083495
42.4800,0.071799,-0.668972,-1.503186
42.5200,0.043380,-0.708529,-0.502179
42.5600,0.015116,-0.709146,0.056495
42.6000,-0.013352,-0.704009,0.376057
42.6400,-0.041204,-0.679062,0.685720
42.6800,-0.067677,-0.649151,1.177123
42.7200,-0.093136,-0.584892,2.072958
42.7600,-0.114468,-0.483315,2.595273
42.8000,-0.131802,-0.377270,2.789731
42.8400,-0.144650,-0.260136,2.942900
42.8800,-0.152612,-0.141838,2.989856
42.9200,-0.155997,-0.020948,3.162554
42.9600,-0.154288,0.111166,3.285475
43.0000,-0.147104,0.241890,3.109295
43.0400,-0.134937,0.359910,2.780925
43.0800,-0.118311,0.464364,2.173154
43.1200,-0.097788,0.533762,1.458933
43.1600,-0.075610,0.581079,1.156796
43.2000,-0.051302,0.626306,0.933742
43.2400,-0.025505,0.655778,0.548744
43.2800,0.001161,0.670205,-0.023640
43.3200,0.028111,0.653887,-0.622431
43.3600,0.053472,0.620411,-0.828687
43.4000,0.077744,0.587592,-0.951345
43.4400,0.100479,0.544303,-1.193627
43.4800,0.121288,0.492102,-1.400133
43.5200,0.139847,0.432293,-1.143641
43.5600,0.155872,0.400611,-0.792047
