variable,modelo,RMSE,MAE,Pearson,lag_s
theta,MAS,0.1300980522410101,0.11659682018348623,0.7730657135107386,0.1599999999999966
theta,no_lineal_friccion,0.10907680137498187,0.0931851752293578,0.7396073932222351,0.1599999999999966
omega,MAS,0.5807769536156535,0.5211761100917431,0.7739081160813898,0.1599999999999966
omega,no_lineal_friccion,0.4865805368483556,0.4166278394495413,0.737283178813039,0.1599999999999966
alpha,MAS,2.6376471515907225,2.3584437458715595,0.770042106736105,0.1599999999999966
alpha,no_lineal_friccion,2.1964969687017475,1.8720800321100917,0.7303594606047927,0.1599999999999966
